écrivent	写，书写; “écrire”（写）的第三人称复数形式。
portable	手机
sur	在..上面prep=On
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
salon	客厅
porte	戴，带，穿;门n.f.
gentille	和善;形容阴性单数名词
vache	奶牛，牛
gentil	和善
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
vêtements	衣服
écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
dors	睡，睡觉，睡得
lis	阅读，读
joue	演出，演得，踢得
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
enfant	小孩子，小孩，孩子
chaque	每个，每，每场
regarde	看
jour	天，日子
légume	蔬菜
prêt	准备好了
prête	准备好了，借
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
œuf	鸡蛋，蛋
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
