oursin	海胆
tomber	陷入(某种状态)
je te crois	我相信你。
l'athlétisme	田径运动
anguille	鳗鱼
calmar	鱿鱼
Traduction	翻译
serais	动词 “être(是)” 的条件式现在时第二人称单数形式
plaisir	愉快,高兴;乐趣(名词)
faire plaisir	让...开心
Liste de vocabulaire	词汇表
cru	生的,未煮熟的”,阳性单数形式
de la sardine	沙丁鱼。
anguille	鳗鱼
crevette	虾
coquille Saint-Jacques	扇贝	shànbèi
C'était en hiver	那是在冬天
rappelle	记得(动词“rappeler”的第1人称单数现在时变位)
ai découvert	发现了“découvert” 是动词 “découvrir” 的过去分词,“ai découvert” 构成复合过去时
caresser	摸
Pâques	复活节
des poules en chocolat	巧克力母鸡
des cloches en chocolat	巧克力钟
Des voleurs	小偷(复数)=thieves
