C'était en hiver	那是在冬天
rappelle	记得(动词“rappeler”的第1人称单数现在时变位)
ai découvert	发现了“découvert” 是动词 “découvrir” 的过去分词,“ai découvert” 构成复合过去时
caresser	摸
Pâques	复活节
des poules en chocolat	巧克力母鸡
des cloches en chocolat	巧克力钟
Des voleurs	小偷(复数)=thieves
elles sont sales	她们脏了
propres	干净的
nettoyer	清洁;打扫;擦拭
j'ai utilisé	"comme d'habitude" 我用了“像往常一样”这个表达
Ah Lisa, qu'est-ce que je vais faire de toi	啊,丽莎,我该拿你怎么办呢?
colères	形容词,“生气的,发怒的”
disait	动词 “dire(说)” 的未完成过去时第三人称单数(il、elle、on)形式
scolaire	学校的
au lieu de	代替=instead of
Tourisme–Vous visitez Montpellier en été avec vos parents	旅游 – 你夏天和父母一起参观蒙彼利埃。
organiser	组织
Votre ami français aimerait vous aider	你的法国朋友想要帮助你。
mettre d'accord	达成一致
l'organisation	组织
cette fête	这场派对
L'examinateur joue le rôle de l'ami français	考官扮演法国朋友的角色。
Vous allez au bureau de tourisme pour demander des informations sur les activités culturelles et sportives, les prix et les transports	你们去旅游局询问有关文化体育活动、价格和交通的信息。
comprend	理解,懂,知道
matière	课
dictionnaire	字典
besoin de	需要
géniaux	很棒的,棒
réunion	会议n.f.
seulement	仅仅adv.只=only
être en vacances	在度假
Ils commencent à parler	他们开始说话。(后面加动词的话,前面要加à)
