trois	三；三只
aimes	喜欢；爱的第二人称单数形式
métro	地铁
banque	银行
école	学校
habitons	（居住）的第一人称复数形式
voulons	想要（第一人称复数形式）
jardin	花园
maison	房子
chouette	猫头鹰
animal de compagnie	宠物
pour moi	给我的；为了我；对于我
ce livre est pour moi	（这本书是给我的。）
les toilettes pour femmes	女卫生间，“les”是定冠词，修饰复数名词“toilettes”（卫生间）;“pourfemmes”意思是“为女性”
où sont les toilettes	卫生间在哪里
la serveuse est américaine	服务员是美国人
je voudrais un thé	我想要一杯茶
deux cafés	两杯咖啡
un jus d'orange	一杯橙汁
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
Je prends la voiture	我乘坐汽车
c'est une valise	这是一个手提箱
où est le restaurant	这家饭馆在哪里？
un croissant s'il vous plaît	请给我一个牛角面包
la gare	那座火车站
le croissant français	那个法国牛角面包
paul habite avec son père	"Paul和他父亲一起住"
frère	兄弟
mari	丈夫
femme	妻子
son père	他的，她的父亲（加阳性名词）
ma famille habite en france	我一家人住在法国
parle	说话
ma mère et sa sœur	我母亲和她的姐妹
c'est une fille anglaise	这是一个英国女孩
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est journaliste	他是记者（有些职业不随着性别而变化）
je travaille à londres	我在伦敦工作（后面是城市，用à）
je travaille en angleterre	我在英国工作（后面是国家，用en）
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
il est americain	"He是American."
