a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
ju suis en chine	我在中国
elle parle espagnol	她说西班牙语
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
il est francais	他是法国人
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
tu habites a berlin	你住在柏林（德国的首都）吗？
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est étudiant	他是大学生（阳性）
il est journaliste	他是记者（有些职业不随着性别而变化）
londres	伦敦
je travaille à londres	我在伦敦工作（后面是城市，用à）
angleterre	英国
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
mon père	我的父亲（加阳性名词）
ma mère	我的母亲（加阴性名词）
ton frère	你的兄弟
ta sœur	你的姐妹
gâteau	蛋糕
garçon	男孩
girafe	长颈鹿
tu es marc	你是Marc吗？
paul mange un croissant	"Paul吃一个牛角面包"
un croissant	一个牛角面包（阳性）
je suis une fille	我是女孩
salut paul	你好，Paul
comment çava	怎么样？
ca va bien merci	很好，谢谢
bienvenue marie	欢迎你，Marie
bonjour marie enchanté	你好Marie，很高兴认识你
au revoir	再见
un	一
joli	漂亮的
un chat	一只猫
mon	我的
fils	儿子
bébé	宝宝
mange	吃
fromage	奶酪
aime	喜欢
elle	她
