ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
to teach ou apprendre ou enseigner	“教 / 学习 / 教授”
Cela faisait 53 ans que nous nous n'avions pas vu	“我们已经有53年没见面了。”
randonner	“远足”
Le Bois de Boulogne	“布洛涅森林”
suivi	参加(动词“suivre”的过去分词)、跟踪、监督; 跟随
Le dimanche matin, je fais d'abord un footing	星期天上午,我先去慢跑
