brosser	梳,刷牙
regarder	看电视,看,看看
réveiller	弄醒
ciel	天空
pluie	雨
toute la journée	一整天,一整天都
jambe	腿
court	跑得,跑步
bouche	嘴,口
mince	瘦
je n'en aime aucun	“我哪一个都不喜欢”
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”
traduisait	动词 “traduire”(翻译)的未完成过去时第三人称单数形式
aînée	(年长的)的阴性单数形式
La note	“成绩”
je n'ai pas compté	“我没数过”
médecine traditionnelle	中医(traditional)
j'ai vu médecin traditionnel de médicine chinoise	“我去看了一位中医。”
J'y suis allée parce que je suis très fatiguée en ce moment	“我去是因为我现在特别累。”
un médicament	药物(medicine /drug)
irai chercher	(将要去取)
le goût	味道
Débutant	“初学者。”(beginner)
parfois	有时，偶尔adv.
le point faible	弱点，缺点
privé	私人的，私有的adj.
promenade	散步，散步的地方n.f.
réceptionniste	接待员n.m./f.(英语：receptionist)
souriant	面带微笑的adj.
