trois	三；三只
aimes	喜欢；爱的第二人称单数形式
métro	地铁
banque	银行
école	学校
habitons	（居住）的第一人称复数形式
voulons	想要（第一人称复数形式）
jardin	花园
maison	房子
chouette	猫头鹰
animal de compagnie	宠物
pour moi	给我的；为了我；对于我
ce livre est pour moi	（这本书是给我的。）
les toilettes pour femmes	女卫生间，“les”是定冠词，修饰复数名词“toilettes”（卫生间）;“pourfemmes”意思是“为女性”
où sont les toilettes	卫生间在哪里
la serveuse est américaine	服务员是美国人
je voudrais un thé	我想要一杯茶
deux cafés	两杯咖啡
un jus d'orange	一杯橙汁
la femme	这个女人（la用于阴性名词）
je vais	我去
j'ai	我有（当动词以原音开头，je要改成j')
gants	手套
compagne	同伴；伴侣；伙伴
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
Tu vas à la gare	你要去火车站
j'ai une valise	我有一个手提箱
voiture	汽车
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
c'est une fille anglaise	这是一个英国女孩
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est journaliste	他是记者（有些职业不随着性别而变化）
je travaille à londres	我在伦敦工作（后面是城市，用à）
je travaille en angleterre	我在英国工作（后面是国家，用en）
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
il est americain	"He是American."
a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
je suis en chine	我在中国
elle parle espagnol	她说西班牙语
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
il est francais	他是法国人
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
tu habites a berlin	你住在柏林（德国的首都）吗？
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est étudiant	他是大学生（阳性）
il est journaliste	他是记者（有些职业不随着性别而变化）
londres	伦敦
je travaille à londres	我在伦敦工作（后面是城市，用à）
angleterre	英国
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
