hang out with	与…出去玩
hang fire	发射不出
full stop	句号
tear strength	撕裂强度
as it stands	按这种样子
turn of the century	世纪之交
stand in the way	阻碍
one hand	（双打开始时）一次发球权
turn from	对…感到厌恶
keep a date	赴约
keep to oneself	保守秘密
executive	执行的
criticize	批评
field	"n.领域；田野，田地；运动场";田野
expert	(n.)专家;专家
force	"v.强迫；n.力量；军队，部队";强迫
curious	(adj.)好奇的;好奇的
graceful	优美
martial	军事的，战事的
intangible	无形的，难以捉摸的
heritage	遗产
abnormal	(adj.) 反常的
bachelor	(n.) 学士
caution	(n.) 谨慎，小心
tissue	"n.（人、动植物细胞的）组织"
climate	(n.) 气候
individual	单独的；个人;(adj.)个人的；n.个人
concede	承认，允许
ridge	山脊
jaw	(n.) 颌，颚，下巴
thus	(adv.) 因此
questionnaire	(n.) 调查表，问卷
dialect	(n.) 方言
cloth	(n.) （一块）布
prohibit	(v.) 禁止
overhead	(adv.) 在头顶，在上面
accustomed	"adj.习惯于；通常的，惯常的"
rag	(n.) 抹布，破布，碎布
plug	"vt.插入（插头），接通（电源）；补足；把......…"
coax	(v.) 哄，哄诱
librarian	(n.) 图书管理员
component	(n.) 零件，组成部分
sustainability	(n.) 持续性，能维持性
peak	"adj.峰值的；v.达到最高点；n.尖端；山峰，峰…"
reject	(v.) 拒绝，拒绝接受
acid	"n.【化学】酸；酸性物质；adj.酸的"
