ink	(n.) 墨水 ，油墨
immigration	(n.) 移民
sink	"v. 下沉 ，下降 ，沉入；   n. 水槽 ，洗碗池"
tyre	(n.) 轮胎 ，车胎
vegetarian	(adj.) 素食的
convince	(v.) 使信服
tissue	"n.   （人 、动植物细胞的）组 织"
firm	(n.) 公司；   adj. 坚定的
truck	(n.) 卡车
jet	"n. 喷气式飞机；   vi. 乘坐喷 气式飞机"
secondary	(adj.) 中学的
diploma	(n.) 毕业文凭 ，毕业证书
tax	(n.) 税 ，税款
reference	"n. 参考；参考书；  引文； (v.) 查阅"
method	(n.) 方法
rail	(n.) 铁路；扶手 ，栏杆
jar	"n. 罐子 ，瓶子 ，坛子 ，缸； (v.) 震动"
period	(n.) （一段）  时间；  时期
reliable	(adj.) 可靠的 ，可信赖的
