obesity	(n.) 肥胖
weave	(v.) 迂回行进
shelter	(n.) 隐蔽处，躲避处
being	(n.) 生命
assumption	(n.) 假定，设想
modest	(adj.) 谦虚的
block	"v.阻挡，妨碍，阻塞；n.街区；阻碍；块状物"
shuttle	"n.短程穿梭运行的车辆；vi.穿梭，移动"
immediate	(adj.) 立刻的
lantern	(n.) 灯笼
wrist	(n.) 腕部
backbone	(n.) 脊椎；骨干，支柱
unbearable	(adj.) 不堪忍受的
earn	(v.) 挣得，挣钱；赚得；赢得
chairman	(n.) 主席，董事长
basin	(n.) 盆地
deliver	"v.递送，交付；发表（演讲）；传达";递送
garage	(n.) 车库
relic	(n.) 遗迹
state	"n.状态，情况；州，邦；v.说明，陈述"
correction	(n.) 改正，修正
shortcoming	(n.) 短处，缺点
semicircle	(n.) 半圆形
biochemistry	(n.) 生物化学
bacteria	(n.) （复数）细菌
cautious	(adj.) 小心的，谨慎的
therefore	(adv.) 因此，所以
assessment	(n.) 评估，估价
pirate	(n.) 海盗；剽窃者；v.窃用
nutritional	(adj.) 营养的
sob	(vi.) 呜咽，抽泣
path	"n.道路；小路；（尤指达到某一目的或结果的）行动…"
abortion	(n.) 流产
accuracy	(n.) 准确度
moustache	"n.小胡子，髭（mustache）"
worldwide	"adv.在世界各地，遍及全球地；adj.全世界的，…"
fellow	"adj.同事的，同伴的；n.家伙，男人"
saucer	(n.) 茶碟，茶托
wide	(adj.) 广泛的
blame	(vt.) 责怪；把……归咎于
woolen	(adj.) 羊毛的；毛纺的
authority	(n.) 当局，官方；权威，威信
