acquisition	"n.获得；掌握；获得物；取得物"
odd	"adj.奇怪的；古怪的；奇数的"
jewelry	(n.) 珠宝
ambition	(n.) 雄心，野心
coal	(n.) 煤
import	(v.) 进口；n.含义，意义
thread	(n.) 线
promote	"v.促进；宣传；提升，升级；推动"
thunderstorm	(n.) 雷暴雨，雷雨
device	(n.) 装置，设备
dependent	(adj.) 依赖的
stranger	(n.) 陌生人
violent	"adj.暴力的，粗暴的；强烈的，猛烈的"
terminal	(n.) 终点，终端
fortune	(n.) 运气；大笔的钱，巨款
pond	(n.) 池塘
via	(prep.) 经过，通过
opportunity	(n.) 机会，良机
discovery	(n.) 发现
jury	(n.) 陪审团；裁判团，评委团
extra	"adj.额外的，附加的；(adv.) 额外地"
journal	"n.定期刊物，杂志；日志，日记"
bitter	(adj.) 带来痛苦的
altitude	(n.) 海拔
slightly	(adv.) 稍微，轻微地
leftover	(adj.) 残余的
court	(n.) 庭院；球场
abruptly	(adv.) 突然地
inn	(n.) 客栈，小旅馆
unemployment	(n.) 失业
platform	(n.) 平台，阵地
survivor	(n.) 生还者
