wrist	(n.) 腕部
backbone	(n.) 脊椎；骨干，支柱
unbearable	(adj.) 不堪忍受的
earn	(v.) 挣得，挣钱；赚得；赢得
chairman	(n.) 主席，董事长
basin	(n.) 盆地
deliver	"v.递送，交付；发表（演讲）；传达";递送
garage	(n.) 车库
relic	(n.) 遗迹
state	"n.状态，情况；州，邦；v.说明，陈述"
correction	(n.) 改正，修正
shortcoming	(n.) 短处，缺点
semicircle	(n.) 半圆形
biochemistry	(n.) 生物化学
amazed	惊讶的
concerned	担忧的
criteria	标准；条件（criterion的复数）
option	选择；选择权
putting to use	使用；利用
referring to	参考；提及
looking for	寻找
improved	提高；改善
applicable	可应用的
instructor	指导者；讲师
opponent	对手
decision - making	决策
hard - earned	来之不易的
grandmaster	特级大师;大师
relevant	(adj.)相关的，有关的
profession	(n.)职业;职业；专业
analyze	(vt.) 分析
evaluate	评估；评价vt.;估价;评价；评估
