hang out with	与…出去玩
hang fire	发射不出
full stop	句号
tear strength	撕裂强度
as it stands	按这种样子
turn of the century	世纪之交
stand in the way	阻碍
one hand	（双打开始时）一次发球权
turn from	对…感到厌恶
keep a date	赴约
keep to oneself	保守秘密
executive	执行的
criticize	批评
field	"n.领域；田野，田地；运动场";田野
expert	(n.)专家;专家
force	"v.强迫；n.力量；军队，部队";强迫
curious	(adj.)好奇的;好奇的
graceful	优美
martial	军事的，战事的
intangible	无形的，难以捉摸的
heritage	遗产
turn up	"phr.调高，来到，出现，到场；卷起"
randomly	"adv.任意地；随便地；胡乱地"
accompanied	"v.伴随…同时发生；陪同；陪伴；伴奏"
intend	打算v.;(v.) 打算；想要；计划
text message	（手机）短信息
astonish	(vt.)使十分惊讶;"vt.使吃惊；使十分惊讶；使大为惊奇；v.使吃惊"
obesity	(n.) 肥胖
weave	(v.) 迂回行进
shelter	(n.) 隐蔽处，躲避处
being	(n.) 生命
assumption	(n.) 假定，设想
modest	(adj.) 谦虚的
block	"v.阻挡，妨碍，阻塞；n.街区；阻碍；块状物"
shuttle	"n.短程穿梭运行的车辆；vi.穿梭，移动"
immediate	(adj.) 立刻的
lantern	(n.) 灯笼
