Une Renault	雷诺车
aussi	也adv.
Belgique	比利时n.f.
bientôt	不久，马上adv.
boulangerie	面包房;面包店
boulangerère	面包师傅n.f.
Bruxelles	布鲁塞尔（比利时的首都）
Cayenne	卡宴（圭亚那的首府卡宴）
chercher	找，寻找，寻觅
Je cherche du travail	我正在找工作
correspondante	通信者，有信件往来者（去e变成阳性）
Dakar	达喀尔（塞内加尔的首都）
guyanais	圭亚那的;圭亚那人
Quelle voiture tu cherches	你想买什么车？
