quatre-vingts	八十
quatre-vingts-un	八十一
quatre-vingts-dix	九十
quatre-vingts-onze	九十一
quatre-vingts-dix-neuf	九十九
cent-un	一百零一
rue Notre-Dame	巴黎圣母院街
Et tu as une adresse e-mail	你有一个email地址吗？
arobase	电子邮件地址符号“@”
hotmail point com	点；圆点；句点，标点；分数；学分[pwɛ̃]n.m.
soixante-onze	七十一
j'ai un secrétaire	我有一个秘书
Vous avez un rendez-vous	您有预约吗？
il a une carte de visite	他有一张名片
Quel est votre nom	您姓什么？
rue	街道，马路n.f.;街
soixante	六十
soixante et un	六十一
soixante et une	六十一（阴性）
soixante-dix	七十
