à	在；向，到；给……prép.
ah	啊!唉!interj.
l'assistant	助理，助手，副手
assistante	助理，助手，副手n.
belge	比利时的adj.;比利时人n.Belge（首字母大写）
chinois	中国的adj.；中国人n.（首字母大写）
chinoise	中国的adj.中国人n.（首字母大写）
cours	课，课程n.m.
dans	在……里；处于….prép
directeur	经理n.阳性形式
directrice	经理n.阴性形式
en	在……(指地点)prép.
espagnole	西班牙的adj.；西班牙人(首字母大写）n.
français	法语n.m.
la France	法国n.f.
Genève	日内瓦(瑞士)(首字母大写）
