take up	开始从事
tell...from	区别；分辨
think about	考虑(做某事的可行性)
think over	仔细考虑
turn out	结果是；证明是
turn over	翻(车)；翻(页)；翻身
what's more	而且
with great care	非常小心
would rather	宁愿
look up	查寻；抬头看
lose temper	发脾气
make a decision	作出决定
make a fire	生火
make the bed	整理床铺
make up one's mind	下决心
no longer or not...any longer	不 再
now and then or again	时而；偶尔
on business	有事；出差
on one's side	在某人一边
on the phone	在听电话
on the other hand	另外一方面
on the or one's way to	在去……路上
out of	从……里出来；缺乏
out of date	过时
over and over	再三；一次次
play a trick on	捉弄
in addition	另 外
in all	总 共
in a minute	一会儿
in brief	简而言之
in hospital	住 院
keep a diary	记 日 记
keep doing something	继续做某事
keep...from	阻止；使……免于
keep off	阻挡；不让……接近
focus on	聚焦于for example 例如for free 免费
from time to time	不时；有时
get tired of	对……感到厌倦
go in for	参加；从事于；酷爱
go on a diet	实行节食
go out	外出；熄灭
happen to do	碰巧做
have pity on somebody	怜悯某人
have sports	进行体育活动
hear from	收到……来信hear of 听 说
compete with	与……竞争；与……攀比
consist of	由……组成
cut down	砍倒；削减
each other	互相
