take up	开始从事
tell...from	区别；分辨
think about	考虑(做某事的可行性)
think over	仔细考虑
turn out	结果是；证明是
turn over	翻(车)；翻(页)；翻身
what's more	而且
with great care	非常小心
would rather	宁愿
look up	查寻；抬头看
lose temper	发脾气
make a decision	作出决定
make a fire	生火
make the bed	整理床铺
make up one's mind	下决心
no longer or not...any longer	不 再
now and then or again	时而；偶尔
on business	有事；出差
on one's side	在某人一边
on the phone	在听电话
on the other hand	另外一方面
on the or one's way to	在去……路上
out of	从……里出来；缺乏
out of date	过时
over and over	再三；一次次
play a trick on	捉弄
in addition	另 外
in all	总 共
in a minute	一会儿
in brief	简而言之
in hospital	住 院
keep a diary	记 日 记
keep doing something	继续做某事
keep...from	阻止；使……免于
keep off	阻挡；不让……接近
after all	终究；毕竟
all over	到处
all the way	一路上
as long as	只要
ask for	请求；寻求
at least at most	至少/至多
at once	立刻；马上
be careful with	小心
be fond of	爱好
be keen on	喜爱
be located in or on or at	位于
wake	醒来，唤醒vt vi（woke，woken）
woken	【过去分词】woken
walk	步行；散步【C】 vi
warn	警告；告诫vt
waste	浪费vt；浪费，废物；垃圾【U】
watch	手表；表【C】--复数：watches；观看，注视；当心【vt】
wave	波浪【C】；挥手，招手；挥动【vt vi】
weak	弱的，差的，淡的adj
wealth	财产，财富【U】
wear	穿；戴vt（wore，worn）
web	网状物，网【C】
The world Wide Web	互联网
weigh	称。。。的重量；重 vt
weight	重量n【U】
western	西方的adj
wet	潮湿的；多雨的adj（wetter,wettest)
whether	是否
