Above	在。。。上面（介词）
tell from	区别；分辨
fuel	燃料
gain	获得，达到=get、achieve
general	大体的，笼统的，总的
generation	一代【C】
get on with	进展；与。。。和睦相处
get off	下车
get rid of	摆脱
give out	分发
go over	复习=review
attend school	上学=go to school
be good for	对。。。有益 --be bad for，be harmful to，do harm to
a bunch of grapes	一串葡萄
greet	问候，向。。。致敬vt
hand something to somebody	将某物递给某人
hang	处绞刑；上吊（hanged，hanged）；悬挂，把。。。吊起（hung，hung）
hardly	几乎不adv
hesitate	犹豫，踌躇vi
hide	隐藏（hid，hidden）
historical	历史的，历史上的
a historical figure	历史人物
come home	回家
hometown	家乡，故乡【U】
Honeymoon	蜜月
honour	荣誉，光荣【U】（美honor）
in honour of	向。。。表示敬意；为纪念。。。
in hospital	住院（生病）
hostess	女主人，女节目主持人  ---host
housewife	家庭主妇
hug	拥抱vi vt（hugged，hugged）
humans	人类【C】的复数
humorous	幽默的，风趣的 --humour幽默n
hunt	寻找；猎取 vi vt  --hunter猎人
hurry off	匆忙离开=leave in a hurry
feel sick	感到恶心，感到难受=feel ill
illnesses	疾病的复数
increase	增加n vt vi
industries	工业产业的复数
influence in	干涉，介入
instruction	指令，命令，指示，教导；用法说明【C】
inventor	发明家【C】 --invent
investigate	调查vt
traffic jams	交通堵塞
journalist	记者，新闻工作者【C】
judge	裁判；审判员；法官n；审判；断定vt
just now	刚才
just then	就在那时
keep a dog	养一只狗=raise a dog
kid	开玩笑vi（kidded）；小孩【C】
knock	敲门，打，击【U】vi
Knock at the door	敲门
in the lake	在湖中
lantern	灯笼【C】
lecturer	演讲者，讲师 --lecture【C】讲座，演讲
librarian	图书管理员【C】 --library图书馆，图书室
lie	谎言；说谎v，【C】（lied，lied）；躺；卧；位于vi（lay，lain）
lives	生命的复数
lift	举起vt；电梯【C】--elevator
litter	废物，垃圾【U】乱丢杂物vt vi
locate	坐落于；确定。。。的地方vt --location
