surf the net	上网浏览
network	网络；网络系统【C】
build up a network	建立网络
news	新闻；消息【U】
news conference	记者（招待）会
in a newspaper	在报上
the next year	第二年
good night	晚安
noise	声音；噪声；响声【U，C】
noodle	面条（常做noodles）【C】
moment	片刻，瞬间 [C]
monitor	班长；监视器【C】
mood	心情，语气，气氛【C】
in the mood	兴致勃勃
mushroom	蘑菇【C】
nation	民族；国家【C】
national	全国性的；国家的；民族的adj
nationalities	国籍n 【复数】
native	本地的，本国的，当地的adj；本地人，本国人【C】
need	需要；必须【v /aux】；需求；必要【U，C】
meet the needs of	满足。。。的需要，needs可用单数或复数
from time to time	不时；有时
hear from	收到。。。来信
tell from	区别；分辨
fuel	燃料
gain	获得，达到=get、achieve
general	大体的，笼统的，总的
generation	一代【C】
get on with	进展；与。。。和睦相处
get off	下车
get rid of	摆脱
give out	分发
go over	复习=review
attend school	上学=go to school
be good for	对。。。有益 --be bad for，be harmful to，do harm to
a bunch of grapes	一串葡萄
greet	问候，向。。。致敬vt
increase	增加n vt vi
industries	工业产业的复数
influence in	干涉，介入
instruction	指令，命令，指示，教导；用法说明【C】
inventor	发明家【C】 --invent
investigate	调查vt
traffic jams	交通堵塞
journalist	记者，新闻工作者【C】
judge	裁判；审判员；法官n；审判；断定vt
just now	刚才
just then	就在那时
keep a dog	养一只狗=raise a dog
kid	开玩笑vi（kidded）；小孩【C】
knock	敲门，打，击【U】vi
Knock at the door	敲门
in the lake	在湖中
lantern	灯笼【C】
lecturer	演讲者，讲师 --lecture【C】讲座，演讲
librarian	图书管理员【C】 --library图书馆，图书室
lie	谎言；说谎v，【C】（lied，lied）；躺；卧；位于vi（lay，lain）
lives	生命的复数
lift	举起vt；电梯【C】--elevator
litter	废物，垃圾【U】乱丢杂物vt vi
locate	坐落于；确定。。。的地方vt --location
